year,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10
1965,0.0678653655919,0.0781651024444,0.0864552548448,0.0959739178543,0.206765268231,0.280878861823,0.345678261841,0.441789163598,0.640782666187,0.803731907199
1966,0.133228835188,0.145315026962,0.162517137936,0.184367358248,0.196591308167,0.225890272955,0.199319528697,0.19942399604,0.198026167049,0.161854756386
1967,0.160226968089,0.160436582416,0.160854523027,0.161027136076,0.185854678815,0.198076877532,0.21669843835,0.249018081387,0.249946034036,0.338723060057
1968,0.00143628253074,0.00133453457283,-0.000821188212247,0.00508840012026,-0.00985501213879,-0.0177306673495,-0.0246203586771,-0.0120645732285,-0.00638191729432,0.0092038449059
1969,-0.246210115936,-0.237891066871,-0.232754307777,-0.230062094421,-0.233150837873,-0.228174090732,-0.244649777672,-0.246228554587,-0.251403038301,-0.335000842636
1970,0.438933871828,0.434311641227,0.431200921131,0.423142915726,0.415413559081,0.401752173018,0.38335934058,0.361828016505,0.330221076644,0.38363550675
1971,0.111343422215,0.115704227629,0.117663947862,0.13328227094,0.122343901409,0.132975573429,0.151612412239,0.130799922918,0.170728994147,0.260292467423
1972,-0.052893310992,-0.0485427854396,-0.0451625587048,-0.0483764921956,-0.0464172126556,-0.080072008607,-0.0841200959408,-0.0724768135394,-0.0869436731868,-0.18169885508
1973,-0.155085407096,-0.153538516364,-0.150961958974,-0.150398334181,-0.148693728234,-0.146752274902,-0.146463742145,-0.149446305586,-0.153826334124,-0.125512208668
1974,0.176355039888,0.174556558369,0.170683198494,0.172955805815,0.182018948619,0.18822298153,0.198587079677,0.233354329387,0.295487282,0.280697971325
1975,0.126157470806,0.128038426777,0.134457227152,0.140836567891,0.142227653951,0.139657816113,0.138857256856,0.136561964596,0.140667898304,0.197720853576
1976,0.0526832419983,0.0551495761482,0.0648641235583,0.0712460071334,0.0763447159198,0.0826545054762,0.07060538332,0.0874974202638,0.0741970131532,0.116676144529
1977,0.0533753448118,0.0534531909568,0.0592459734679,0.0622391011687,0.0766504310074,0.08078818168,0.0887067114687,0.140419651035,0.157801136373,0.173383604926
1978,0.156030779789,0.15128757618,0.144254926879,0.143208258038,0.153542015697,0.174524867156,0.18725414852,0.203721311829,0.207775290615,0.176146893579
1979,0.195051997874,0.196164449732,0.204677995162,0.211706976843,0.233840660268,0.281829165313,0.332578239656,0.37257203021,0.527583886658,0.57735668214
1980,0.273116883674,0.273761219027,0.280782460478,0.282335999594,0.271116593762,0.277892481819,0.284608184993,0.214854191237,0.189711910572,0.173256231221
1981,-0.146495910108,-0.142538402444,-0.145988527141,-0.157352720525,-0.156814528573,-0.167405273809,-0.169156334164,-0.199968115395,-0.224323405367,-0.276525048572
