year,prev_1_1,prev_1_12,prev_1_24,prev_1_36,prev_2_12,prev_2_24,prev_2_36
1965,0.4459804,0.770902423107,0.770902423107,0.770902423107,0.652179591363,0.652179591363,0.652179591363
1966,0.0,0.178849954308,0.178849954308,0.178849954308,0.142548610959,0.142548610959,0.142548610959
1967,0.0,0.357318264074,0.16903611532,0.16903611532,0.355508223775,0.149351398471,0.149351398471
1968,0.0,0.00841111447876,-0.0662145377686,-0.0693450528258,0.00533497672911,-0.053611289173,-0.0693508182843
1969,0.0,-0.323568620754,-0.274127151733,-0.262155620772,-0.269788430041,-0.274098934806,-0.263827180632
1970,0.42214051524,0.370325619458,0.401310219325,0.398734513381,0.380389375679,0.356461619953,0.398409051637
1971,0.0,0.28186172904,0.442513289001,0.375563306054,0.258097582678,0.395690661598,0.346294197702
1972,0.0,-0.107440676685,-0.0920914092299,-0.0725436531898,-0.160135600221,-0.0939341937619,-0.0718108172031
1973,-0.183188736221,-0.143350989482,-0.158458479688,-0.152384358986,-0.124805426184,-0.155590074331,-0.151793653604
1974,0.162049523676,0.308981372315,0.25563184845,0.144764464096,0.292889530635,0.259922453175,0.136961552874
1975,0.105433205137,0.195175722106,0.166494363128,0.105127378566,0.185844722628,0.193619573231,0.108022962575
1976,0.00371768973201,0.124024751134,0.0817106798726,-0.00606756224825,0.100629415934,0.0737436803579,-0.0214313366907
1977,0.230999640842,0.167323459658,0.159721249227,0.0466822883947,0.251364458085,0.169502457501,0.0612351077808
1978,0.516654447427,0.170516838513,0.206232957704,0.166116333895,0.165849928738,0.213650416313,0.170463759257
1979,0.0476665846524,0.573362174424,0.390687412922,0.324056994668,0.610133483613,0.407127438776,0.331722410821
1980,0.265636178259,0.168662551576,0.180630761179,0.301263877842,0.181642587553,0.188354550781,0.313956736505
1981,-0.636819515307,-0.25443513568,-0.23951069976,-0.238214132907,-0.273866251548,-0.248631503972,-0.23892307242
1982,0.979835869281,0.697777098235,0.695865558628,0.654315164814,0.64101683047,0.704717098334,0.64537884362
1983,-0.664022160412,-0.363705652502,-0.323620435677,-0.25286284824,-0.384525116943,-0.34810480994,-0.252701878006
1984,0.16610797532,0.358845494413,0.29835014981,0.324335545604,0.327014117031,0.288596295212,0.320481222887
1985,-0.467754653993,0.494120870081,0.46100851072,0.367921654522,0.502536552106,0.446417673459,0.365757213688
1986,-0.384851629526,0.0912546943806,0.128534385392,0.141380092677,0.0712197257774,0.13849779345,0.141455391716
1987,-0.235959292207,-0.0562689715172,-0.0724558060664,-0.0642806184686,-0.0567918073418,-0.0732762825507,-0.0632911560721
1988,0.098590005254,0.12909229887,0.117389622056,0.190395668725,0.186001111244,0.125785234142,0.193806309749
1989,-0.195897540463,0.12538609403,0.159117491459,0.18266232584,0.146057225086,0.171275142934,0.189423753024
1990,-0.202173969612,0.0744268873823,0.0873413255559,0.0815227950348,0.0605097516313,0.0789955176219,0.0756628304577
1991,-0.137236013809,0.265867124505,0.177823816089,0.146963700407,0.24693359158,0.152389695429,0.143422494675
1992,0.112899462839,0.335677740223,0.157847224855,0.0676175292317,0.327138318652,0.159170851747,0.0676464763237
1993,-0.352030995302,0.0344772722213,0.028053509861,0.0104180688389,0.033442408978,0.0356542571283,-0.00360486584361
1994,0.219108039065,0.352346974629,0.28106013426,0.248281772072,0.322041693965,0.291236573672,0.249307790138
1995,-0.0801724590272,0.244183743444,0.242859045338,0.260345970662,0.269229907356,0.246490607466,0.267431018263
1996,-0.515077160769,0.0270029324581,0.338822426302,0.337992717863,0.0279039959191,0.31207591495,0.324757872616
1997,-0.0835373239083,0.388379479261,0.319680077261,0.285289830689,0.381939034203,0.324295696498,0.290749469658
1998,1.70310413236,0.407031068151,0.198108499835,0.1828188647,0.3769466016,0.211905699979,0.180574910612
1999,0.921817832711,0.412839795639,0.239223741625,0.14478175436,0.44386399505,0.186960068889,0.125629069124
2000,-0.718690462507,-0.55591356987,-0.516359890738,-0.350205770166,-0.571935210835,-0.517714676592,-0.348575815882
2001,-0.337235170999,-0.0193837902582,-0.273747213293,-0.345715359903,-0.0439294095979,-0.260622643889,-0.30772381049
2002,-0.439411165113,0.0160481631329,0.00870372861761,0.0177488597847,0.037510058015,0.0072226196992,0.0309019415121
2003,0.386843307496,0.390050923475,0.331281568573,0.241233848714,0.464723586879,0.347240233409,0.234590048682
2004,0.187943907108,0.0701026003613,0.0518641490934,0.148946056811,0.0517984683515,0.0390706532528,0.149144659472
2005,-0.0442523423526,0.21350435316,0.183538326613,0.173130963538,0.212599632494,0.17711998714,0.165991028272
2006,-0.0150518275671,0.185190156148,0.232476752256,0.223270424089,0.193663311513,0.243238948709,0.227570702618
2007,-0.164542376641,0.0881753953007,0.0191504576901,0.0109403609123,0.0784246794399,0.00262121519993,0.00421440316299
2008,-0.587334724946,-0.439833229569,-0.314934306037,-0.2966079493,-0.382931219993,-0.290193440084,-0.287265432898
2009,0.104804967349,0.162604464156,0.182527007721,0.11997971662,0.155717646947,0.126984994241,0.113064100325
2010,0.0223616431527,0.45854083641,0.396156849464,0.358625919335,0.44997909816,0.384538612334,0.390958070533
2011,-0.255955756948,-0.103157117007,0.0167331025827,0.0840712686458,-0.114634833076,0.0170060120233,0.0834789351061
2012,0.210438709869,0.0997585857667,0.169463210157,0.17609943245,0.0702462297574,0.170191387337,0.181119230447
2013,-0.299751071329,0.354018807355,0.288132449862,0.23882337506,0.347749208085,0.276633091167,0.251112822493
2014,0.31194736856,0.0657413854799,0.0751913237472,0.121463243528,0.16142720883,0.0906887975246,0.124853101191
